Company/Brand,Sector,Stage,HeadQuarter,What it does,Amount ($),Year of Funding
Technology 9 Labs (T9L),Information Technology,Corporate Round,New Delhi,Technology 9 Labs is an Information Technology and Services company.,0,2018
Goals101,Financial Services,Seed,Delhi,Goals101 is a one of the fastest growing big-data platforms.,3500000,2018
Satya MicroCapital,Finance,Venture - Series Unknown,New Delhi,New Delhi-based non-banking financial company.,5840000.0,2018
Ummeed Housing Finance Private Limited,Finance,Series C,Haryana,Ummeed Housing Finance Private Limited,8760000.0,2018
StockEdge,Analytics,Seed,Kolkata,"StockEdge is a unique platform, which is 100% focused on research and analytics",1100000,2018
Sequretek,—,Venture - Series Unknown,Mumbai,Sequretek is a cyber security start-up.,3700000,2018
Avenues Payments India Pvt. Ltd.,—,Corporate Round,Mumbai,Avenues Payments is an IT solutions provider for the remittance\money transfer and forex industries.,1300000,2018
Qbera,Finance,Venture - Series Unknown,Bangalore,Qbera is a managed marketplace for unsecured personal loans.,2044000.0,2018
Urban Ladder,E-Commerce,Debt Financing,Bangalore,Urban Ladder is a Bangalore-based online furniture company.,5600000,2018
Planet11 eCommerce Solutions India (Avenue11),—,Corporate Round,Bengaluru,"Planet11 is backed by SK Planet, which is a part of the SK Group – one of the largest conglomerates in South Korea.",3796000.0,2018
DailyNinja,Apps,Series A,Bengaluru,"Daily Ninja, a mobile app that delivers daily needs on a subscription model",0,2018
Iba Halal Care,—,Series A,Ahmedabad,Iba Halal Care is a cosmetics brand company.,2190000.0,2018
Knocksense,News,Seed,Lucknow,Knocksense is a fast growing lifestyle website.,0,2018
Togedr,—,Venture - Series Unknown,Gurgaon,Togedr is an activity discovery & booking platform.,0,2018
Parkwheels,Industrial,Seed,Haryana,"Parkwheels aims at solving the big, bad & unsexy parking problems of India.",175200.0,2018
ShareChat,Internet,Series C,Bangalore,ShareChat is a social networking and regional content platform for the fast growing Internet users in India.,99230000,2018
Cyclops Medtech,Health Care,Seed,Bangalore,Medtech startup working on clinical and wearable diagnostic and rehab products for neuro vestibular disorders using eye tracking technology.,1000000,2018
Livspace,E-Commerce,Series C,Bangalore,"Livspace is the new online shopping destination where you can design, decorate and furnish your dream home.",70000000,2018
NewsBytes,Apps,Seed,Gurgaon,NewsBytes provides your everyday news in a contextual timeline to reduce information overload.,1000000,2018
Leena AI,Artificial Intelligence,Seed,Gurgaon,Leena is smart AI powered HR companion dedicated towards engaging employees.,2000000,2018
Max Healthcare,Health Care,Corporate Round,New Delhi,Max Healthcare is one of the leading chain of hospitals in India.,0,2018
GoBolt,Logistics,Venture - Series Unknown,New Delhi,Delhi-based logistics technology.,5840000.0,2018
GoGaga,Dating,Non-equity Assistance,Bangalore City,GoGaga is a new age dating app that has removed the mindless swiping on strangers and connects users through their network and find matches.,40000,2018
Mate Labs,Artificial Intelligence,Seed,Bangalore,Mate Labs is a machine learning solutions platform for beginners.,550000,2018
Furlenco,Consumer,Series C,Bangalore,Furlenco is a Bangalore-based company that offers a home furniture subscription program.,0,2018
Ola,Apps,Venture - Series Unknown,Kormangala,Ola is a mobile app that brings together cab drivers and customers using technology to make transportation hassle-free in India.,50000000,2018
DocPrime,Health Care,Funding Round,Haryana,DocPrime offers a one-stop healthcare solution right at the comfort of patients' homes.,50000000,2018
CLP India Pvt. Ltd.,Energy,Private Equity,Mumbai,CLP India Pvt. Ltd. is a foreign investor in the Indian power sector.,365000000,2018
Xplorabox,E-Commerce,Seed,Noida,Xplorabox is as an educational activity box subscription startup aiming to revolutionize the early education industry.,0,2018
Myra,Apps,Venture - Series Unknown,Bangalore,Myra is a unique solution of technology and operations that makes buying medicines fast and efficient.,127750.0,2018
Vokal,Internet,Series A,Bengaluru,India's Largest Peer-to-Peer Knowledge Sharing Platform in Indian Languages.,1500000,2018
Kissht,Credit,Series C,Mumbai,"Kissht is a financial technology platform that enables instant, seamless credit for consumers to make purchases at digital points of sales",30000000,2018
Upwards Fintech,Banking,Series A,Mumbai,Upwards Fintech financial company.,5000000,2018
Bon(Bonfleet Solutions),Financial Services,Seed,Pune,"Bon, a Pune-based FinTech firm was created to bring financial services to the gig-economy workforce.",1138800.0,2018
Mamaearth,E-Commerce,Series A,Gurgaon,Mamaearth is an online retailer specializing in baby and toddler products.,4000000,2018
BabyChakra,Child Care,Series B,Mumbai,BabyChakra is India's largest & most loved platform to discover the right maternity and childcare.,0,2018
Belstar Investment and Finance Private Limited,Financial Services,Venture - Series Unknown,Chennai,Belstar Investment and Finance Private Limited is a provider of scalable microfinance services to entrepreneurs.,28000000,2018
Naaptol,E-Commerce,Venture - Series Unknown,Mumbai,"Koku Gamer is an online platform that offers gaming related news, editorials, reviews, previews, and other content.",15000000,2018
Moonshine Meadery,Food and Beverage,Seed,Pune,Moonshine Meadery is a first craft meadery.,0,2018
Verzeo,E-Learning,Series A,Bangalore,Verzeo is anAI-focussed edtech startup.,5000000,2018
Haazri,Food and Beverage,Seed,Mumbai,Haazri is a tea and snack quick service restaurant startup,182500.0,2018
Connect India,Delivery Service,Angel,New Delhi,"To create pervasive network where connections are simpler, more powerful, more affordable, more global and more available to all.",0,2018
Flyrobe,Fashion,Series B,Mumbai,Flyrobe is an on-demand apparel rental platform that provides premium designer wear.,3854400.0,2018
Scholify,—,Pre-Seed,Bengaluru,Edutech,0,2018
Dream11,Fantasy Sports,Series D,Mumbai,"Dream11 is India’s Biggest Sports Game with 30 million+ users playing Fantasy Cricket, Football, Kabaddi and NBA.",100000000,2018
srJna,Education,Seed,Jaipur,"SRJNA is a brand of Elation Edtech Pvt. Ltd., which helps schools to integrate hands on, affordable and turnkey STEM.",0,2018
Nykaa,Beauty,Secondary Market,Mumbai,Nykaa.com is a premier online beauty and wellness destination,16498000.0,2018
Chaayos,Food and Beverage,Series B,New Delhi,Chaayos was born in November 2012 out of this premise - a contemporary interpretation of the chai adda.,11826000.0,2018
Heelium,Fitness,Seed,Pune,Heelium is an athletic footwear and wearable startup with primary focus on sports safety and sustainability.,0,2018
LT Foods,Food and Beverage,Post-IPO Equity,New Delhi,LT Foods believe that nature will continue to nurture us until we as a species continue to breathe and live.,20440000.0,2018
Multibashi,E-Learning,Seed,Bengaluru,Free language learning platform.,146000.0,2018
Cleardekho,Eyewear,Venture - Series Unknown,Ghaziabad,Uttar Pradesh based online eyewear marketplace.,0,2018
Dailyhunt,Information Technology,Series E,Bangalore,NewsHunt is a Bangalore based eBooks company.,6000000,2018
SlicePay,FinTech,Series A,Bengaluru,SlicePay is an AI based instant credit app for youngsters in India.,14900000,2018
Udaan,B2B,Series C,Bangalore,"Udaan is a B2B trade platform, designed specifically for small and medium businesses in India.",225000000,2018
Happyeasygo Group,Tourism,Series A,Haryana,HappyEasyGo is an online travel domain.,0,2018
Mombay,Food and Beverage,Seed,Mumbai,Mombay is a unique opportunity for housewives to start household food business and avail everyone with their homemade healthy dishes.,7500,2018
Droni Tech,Information Technology,Seed,Mumbai,Droni Tech manufacture UAVs and develop software to service a range of industry requirements.,511000.0,2018
Netmeds,Biotechnology,Series C,Chennai,Welcome to India's most convenient pharmacy!,35000000,2018
